time	V(vin)	V(vout)
0.000000000000000e+000	1.000000e-002	9.961503e-005
6.850539037884099e-004	1.432268e-002	4.420083e-003
1.370107807576820e-003	1.861762e-002	8.711151e-003
2.055161711365230e-003	2.288481e-002	1.297282e-002
2.740215615153640e-003	2.712426e-002	1.720509e-002
3.425269518942050e-003	3.133596e-002	2.140796e-002
4.110323422730459e-003	3.551992e-002	2.558143e-002
4.795377326518868e-003	3.967613e-002	2.972550e-002
6.023948755090293e-003	4.705030e-002	3.707288e-002
7.252520183661718e-003	5.410441e-002	4.409549e-002
8.481091612233142e-003	6.083845e-002	5.079334e-002
9.709663040804568e-003	6.725244e-002	5.716642e-002
1.093823446937599e-002	7.334636e-002	6.321475e-002
1.216680589794742e-002	7.912023e-002	6.893831e-002
1.339537732651884e-002	8.457403e-002	7.433711e-002
1.578109161223312e-002	9.390928e-002	8.354886e-002
1.816680589794739e-002	1.011015e-001	9.061395e-002
2.055252018366166e-002	1.061508e-001	9.553239e-002
2.293823446937593e-002	1.090571e-001	9.830418e-002
2.532394875509021e-002	1.098203e-001	9.892931e-002
2.770966304080448e-002	1.084406e-001	9.740778e-002
3.009537732651874e-002	1.049178e-001	9.373960e-002
3.165252018366164e-002	1.012551e-001	8.998913e-002
3.320966304080453e-002	9.684606e-002	8.549820e-002
3.476680589794743e-002	9.169075e-002	8.026682e-002
3.632394875509033e-002	8.578915e-002	7.429498e-002
3.788109161223322e-002	7.914128e-002	6.758269e-002
3.943823446937612e-002	7.174712e-002	6.012994e-002
4.099537732651901e-002	6.360667e-002	5.193673e-002
4.196680589794762e-002	5.830491e-002	4.660689e-002
4.293823446937621e-002	5.287522e-002	4.115251e-002
4.390966304080481e-002	4.731758e-002	3.557357e-002
4.488109161223342e-002	4.163201e-002	2.987009e-002
4.585252018366201e-002	3.581850e-002	2.404206e-002
4.682394875509061e-002	2.987705e-002	1.808949e-002
4.779537732651921e-002	2.380766e-002	1.201236e-002
4.838145433544779e-002	2.013993e-002	8.341789e-003
4.896753134437638e-002	1.647077e-002	4.671084e-003
4.955360835330497e-002	1.280017e-002	1.000246e-003
5.013968536223356e-002	9.128136e-003	-2.670724e-003
5.072576237116214e-002	5.454661e-003	-6.341826e-003
5.131183938009074e-002	1.779749e-003	-1.001306e-002
5.189791638901932e-002	-1.896600e-003	-1.368443e-002
5.265505924616220e-002	-6.630729e-003	-1.841014e-002
5.341220210330508e-002	-1.130123e-002	-2.307016e-002
5.416934496044796e-002	-1.590811e-002	-2.766449e-002
5.492648781759084e-002	-2.045136e-002	-3.219313e-002
5.568363067473371e-002	-2.493099e-002	-3.665607e-002
5.644077353187659e-002	-2.934699e-002	-4.105332e-002
5.719791638901947e-002	-3.369937e-002	-4.538488e-002
5.851220210330523e-002	-4.107632e-002	-5.272037e-002
5.982648781759098e-002	-4.799646e-002	-5.959439e-002
6.114077353187673e-002	-5.445980e-002	-6.600693e-002
6.245505924616248e-002	-6.046633e-002	-7.195799e-002
6.376934496044823e-002	-6.601605e-002	-7.744757e-002
6.508363067473398e-002	-7.110897e-002	-8.247567e-002
6.639791638901973e-002	-7.574508e-002	-8.704229e-002
6.918363067473410e-002	-8.340462e-002	-9.453402e-002
7.196934496044846e-002	-8.811635e-002	-9.908084e-002
7.475505924616284e-002	-8.988026e-002	-1.006828e-001
7.754077353187720e-002	-8.869637e-002	-9.933983e-002
8.032648781759157e-002	-8.456466e-002	-9.505198e-002
8.311220210330593e-002	-7.748515e-002	-8.781924e-002
8.589791638902029e-002	-6.745782e-002	-7.764161e-002
8.708363067473461e-002	-6.245407e-002	-7.258421e-002
8.826934496044893e-002	-5.712754e-002	-6.720843e-002
8.945505924616326e-002	-5.147821e-002	-6.151426e-002
9.064077353187758e-002	-4.550611e-002	-5.550171e-002
9.182648781759190e-002	-3.921121e-002	-4.917078e-002
9.301220210330621e-002	-3.259353e-002	-4.252146e-002
9.419791638902053e-002	-2.565307e-002	-3.555376e-002
9.482648781759198e-002	-2.192145e-002	-3.181000e-002
9.545505924616342e-002	-1.815490e-002	-2.803277e-002
9.608363067473487e-002	-1.435341e-002	-2.422207e-002
9.671220210330632e-002	-1.051698e-002	-2.037791e-002
9.734077353187777e-002	-6.645617e-003	-1.650029e-002
9.796934496044921e-002	-2.739314e-003	-1.258919e-002
9.859791638902066e-002	1.201926e-003	-8.644635e-003
9.929791638902068e-002	5.590153e-003	-4.254510e-003
9.986836142250284e-002	9.182305e-003	-6.621957e-004
1.004388064559850e-001	1.276473e-002	2.919160e-003
1.010092514894672e-001	1.633742e-002	6.489556e-003
